COUNTRY,ID,Neighbourhood,Government,Scientist,Journalist,Doctor and Nurses,Philantropist,Traditional Healers
United States,139212904,2,4,1,2,1,2,2
United States,140594125,2,2,2,3,1,3,3
United States,122485251,2,3,2,4,2,2,3
United States,199181826,1,1,1,2,1,1,2
United States,191498684,2,3,1,2,1,2,2
United States,187719332,1,3,1,1,1,1,99
United States,205054214,1,4,1,1,1,1,3
United States,147768095,1,1,1,2,1,1,3
United States,196065988,1,2,2,3,1,2,2
United States,161407823,1,3,1,2,1,2,2
United States,132188971,2,4,2,4,2,2,4
United States,190661721,1,3,2,4,1,2,2
United States,166084342,1,3,2,4,2,2,2
United States,203360668,2,3,1,1,1,1,2
United States,163559587,2,2,1,2,2,2,2
United States,175392722,2,3,2,3,2,2,2
United States,207951891,1,1,1,3,1,1,2
United States,183729418,2,3,2,2,1,2,99
United States,123618001,1,1,1,2,1,1,3
United States,168534859,1,2,2,2,1,2,3
United States,171045535,2,2,1,2,1,1,1
United States,135546752,2,2,1,2,1,2,2
United States,133911390,1,3,2,3,2,1,3
United States,190814987,2,3,2,1,1,3,99
United States,197261338,1,2,2,3,2,2,2
United States,204498616,3,3,2,2,2,2,2
United States,127376097,1,4,1,1,1,2,3
United States,188624372,1,2,1,1,1,1,3
United States,169100105,2,4,1,1,1,2,4
United States,167289727,1,2,2,3,1,2,2
United States,181762798,1,2,1,1,1,1,4
United States,148866227,1,2,2,3,1,2,3
United States,117021343,3,3,2,2,2,3,3
United States,199292366,2,2,1,2,1,2,3
United States,178164401,1,1,1,3,1,1,4
United States,155505822,1,2,1,4,1,2,2
United States,119755066,1,2,1,3,1,2,2
United States,177093690,2,2,2,2,2,2,2
United States,182413455,1,3,1,3,1,4,2
United States,144915692,3,3,2,2,2,3,2
United States,167796795,1,2,1,2,1,1,2
United States,116627296,1,4,2,3,2,2,2
United States,198601036,2,2,2,2,2,2,2
United States,140755538,1,2,1,2,1,2,4
United States,151855001,1,3,2,2,2,1,2
United States,117542946,1,4,1,2,1,1,3
United States,175574676,3,4,1,2,2,1,4
United States,175615335,2,4,1,2,1,2,2
United States,177654151,1,3,1,1,1,3,3
United States,174218767,2,1,1,1,1,2,99
United States,150766302,2,1,1,1,2,1,3
United States,133620629,2,2,1,2,1,1,4
United States,181709464,2,1,2,3,2,3,2
United States,144384504,2,2,2,2,2,2,3
United States,192299630,1,3,1,1,1,1,2
United States,209436417,1,4,3,4,2,2,2
United States,207257197,1,2,1,2,2,2,2
United States,205454384,2,4,2,2,2,2,4
United States,130745715,2,3,1,3,1,99,1
United States,115908250,3,3,3,3,3,3,3
United States,153936582,2,2,2,1,1,1,2
United States,151695196,1,3,2,2,1,2,3
United States,148450349,1,2,2,2,2,4,2
United States,168275997,1,4,1,1,1,1,2
United States,172033995,1,3,3,2,2,2,3
United States,142372923,3,3,2,2,2,2,4
United States,199630104,4,2,1,4,2,1,2
United States,161328374,2,2,2,3,2,2,2
United States,117878469,2,1,1,1,1,1,99
United States,124416734,99,99,2,3,2,2,2
United States,150144637,2,2,2,3,2,1,4
United States,164865802,1,4,1,1,1,1,2
United States,160675217,2,99,1,3,2,2,99
United States,179695796,1,4,1,1,1,2,99
United States,165907912,2,4,1,3,2,2,1
United States,190560801,2,2,2,2,1,2,2
United States,206273122,2,3,1,1,1,2,99
United States,126800157,2,2,3,2,2,3,2
United States,124678811,3,2,1,2,1,1,3
United States,161521227,1,3,1,99,1,1,3
United States,177213587,1,2,2,2,1,1,1
United States,185223337,1,2,1,4,1,2,2
United States,116502677,1,3,1,2,2,2,2
United States,117989836,1,2,2,4,1,2,1
United States,203628496,1,4,1,1,1,1,2
United States,141887357,2,1,1,1,1,1,2
United States,131776562,1,2,1,4,2,2,2
United States,148022264,2,3,2,2,2,2,3
United States,186046837,2,2,2,2,2,2,3
United States,145517733,1,2,1,1,1,1,2
United States,151510788,99,2,1,2,1,2,1
United States,183337045,99,3,2,3,2,2,2
United States,203162716,2,3,1,1,1,1,2
United States,147403326,1,4,3,2,3,3,3
United States,168282975,1,4,1,1,1,1,2
United States,178308619,2,2,1,4,1,2,2
United States,155899780,2,3,1,2,1,2,3
United States,200113358,2,1,1,1,1,1,2
United States,127300610,1,1,2,3,1,1,3
United States,187573654,2,2,2,2,2,4,3
United States,133437829,1,1,2,4,1,2,2
United States,136114624,1,2,1,1,1,1,1
United States,175248584,1,4,1,1,1,1,4
United States,114118628,2,4,1,1,2,1,2
United States,189666402,2,3,2,3,1,99,99
United States,163287986,3,3,2,2,2,2,3
United States,207445661,1,4,2,4,1,3,2
